track,tags
42563,"0,4,11,31,32,76,129,155,202"
2312,"0,1,7,84"
22207,"1,50,54,74"
73547,"0,4,7,13,15,17,84,175"
55799,"0,20,105,181"
5689,"0,2,4,27"
9374,"0,30,131,159,200"
21593,"0,1,11,72,148"
70334,"0,46,59,142"
42030,"5,23,35,208"
59921,"1,11,54,62,172"
46120,"0,1,13,64,74,84,129,154"
9124,"0,18,95,132"
76070,"23,228,246"
75559,"0,6,73,114,122"
9015,"0,253"
28011,"6,28,35,85,151"
16976,"0,14,111"
37473,"0,28,40,182"
56754,"2,6,24,162"
45602,"0,31,88,149,255"
17078,"1,180"
16313,"35,233"
66011,"2,24,240"
18353,"1,15,50,98,220"
32654,"1,15,50,98,220"
38501,"0,33,107,120"
55935,"35,64,112"
23850,"6,23,151,173"
26560,"3,124"
72523,"0,3,19,22,28,34,46,88,186"
32146,"23,134,169,214"
25342,"6,39,93,177"
5766,"0,1,98,135"
22196,"0,28,247"
11796,"0,10,91,156"
49987,"0,1,4,17,29,94,96,192"
860,"1,2,25"
66977,"1,13,66,92"
14972,"2,5,23,75,208"
49299,"1,15,62"
71079,"2,43,195"
14134,"3,72,106"
5145,"28,221"
66419,"28,221"
74277,"6,9,32,39"
71607,"1,108"
73719,"3,236"
32163,"1,62,192"
45664,"0,10,57"
40929,"5,89,127"
44477,"1,11,15,50,70,178"
42643,"6,28,151"
28264,"1,11,123"
24224,"6,122,232"
27049,"6,39,81,103"
12558,"1,11,12,54,98,138"
66744,"0,77,149"
66418,"1,11,12,54"
62696,"2,3,23,26,204,238"
76202,"2,3,23,26,204,238"
30456,"28,182"
29735,"1,3,11,72,129"
48193,"1,3,11,72,135"
72337,"1,6,23,123,151,243"
28300,"43,195"
15657,"6,23,160"
71665,"28,221"
71092,"0,1,12,67,209"
40986,"3,23,124,246"
22845,"6,170,201"
68636,"1,2,9,23,41,47"
51308,"1,17,50"
42729,"5,68,89,102,133"
36618,"1,11,43,121"
73927,"0,94"
48972,"0,3,4,22,59"
72852,"0,1,3,5,22,38,74"
47549,"19,28,155,186"
56193,"0,57"
34996,"35,112,244"
66355,"3,200"
23567,"9,32,47,202"
43967,"1,15,96,165"
21051,"1,25,53,76"
17131,"1,5,17,23,35,64,207,239"
72987,"6,122"
27065,"0,1,12,13,15,31,74,77,90,149,159,209"
38323,"0,33,42"
68685,"0,79"
41239,"23,160"
42102,"1,12,29,37,97,220"
35507,"1,15,74,99,167,174,209"
11170,"28,182"
33640,"0,33"
68338,"1,11,12,29"
11587,"0,1,84,148"
63887,"5,102,118,127"
46336,"5,102,118,127"
34174,"1,6,23,25,180,232"
44459,"1,11,64,70,76,165"
17367,"5,17,75,89"
9421,"2,23,24,26,228"
54050,"1,5,17,89,254"
68981,"2,3,24,176"
62449,"5,89"
24787,"1,37,62"
34944,"1,12,172"
63373,"0,22"
58781,"0,30"
68527,"1,66,87"
32137,"0,42,152"
43306,"3,9,19"
69323,"2,3,160,234"
21338,"5,35,143"
9052,"0,5,18,102"
43946,"0,1,7,11,43,121,137"
44412,"0,2,22,59"
54218,"1,2,86,196"
70574,"0,59"
39714,"23,228"
24178,"6,24,122,187"
66896,"1,5,96,157,219,227"
57852,"0,4,77,129"
8116,"0,2,129"
37874,"5,89,197,254"
49433,"3,28,168"
27399,"0,2,7,27,48,60"
19157,"0,65,120"
21031,"1,109"
7542,"0,3,22,28,40,59"
33945,"0,31,84,253"
51886,"6,8,103,116,145"
119,"1,21,144"
46382,"0,7,8,48"
29217,"3,124"
52274,"1,92,113"
7927,"1,70"
7170,"0,7,77,129,154"
37849,"1,2,17,24,71,131"
28999,"0,4,88"
34300,"0,16,140"
64515,"43,137,183,195"
22295,"1,11,50,74"
17846,"6,175"
67313,"0,56,88"
10234,"0,18,20,73"
54615,"3,35,44,92,146"
36457,"0,3,10,16,106"
7458,"3,6,198"
56811,"0,22,38,90"
43174,"1,15,64"
42307,"0,51,130"
804,"6,9,93,101"
57993,"1,15,131"
43471,"1,29,50,62,220"
62758,"0,49,139"
72484,"0,10,136"
61210,"0,3,19,22,38"
11537,"5,197"
44611,"3,101,252"
1856,"6,9,55,117"
24356,"28,85,182"
74385,"1,29,87"
17420,"0,149"
60316,"0,10,91"
4723,"1,70"
1639,"1,70"
71401,"1,11,72"
34779,"0,6,12,95,175"
18695,"0,4,7"
31307,"1,11,76,138"
22738,"35,73,233"
43755,"1,11"
61326,"1,2,5,13,75"
64930,"3,34"
11686,"1,37,50,78,144"
45842,"0,114"
6032,"3,236"
66186,"0,8,28,51"
34171,"1,113,199"
31771,"0,33,67"
19554,"0,67,129"
28935,"3,35,64,112,146"
42801,"0,10,136"
28650,"1,72,229"
47161,"0,2,8,26"
34156,"1,6,23,173,246"
588,"1,2,15,21,70"
9504,"1,5,9,32,54,68,118"
25273,"0,12,52"
27292,"0,5,6,12,52,116,226"
17528,"3,5,6,43,63,170,183"
74299,"1,11,72"
40097,"0,46,114"
70975,"5,68"
21959,"0,12,67,95"
27704,"0,33,126,181"
20326,"11,43,72,121,195,240"
19046,"1,21"
49245,"1,2,54"
40091,"2,41"
9167,"5,9,32,104"
45119,"1,15,99,219"
12221,"1,70"
53477,"0,18,49"
15987,"3,160,234"
37541,"6,145"
37636,"1,5,12,102,230"
23351,"5,102,197"
3408,"6,145"
75582,"5,58,89,127,254"
53063,"6,241"
38276,"0,4,31,57"
64677,"1,43,72,137"
14935,"1,43,72,137"
20353,"0,1,13,50,87"
76567,"9,47,85"
29358,"0,35,38,112"
75150,"0,38,135"
59784,"0,10,73,112,248"
20690,"1,11,229"
35322,"3,19,106"
11940,"3,160,234"
75486,"0,16,125"
46446,"0,52"
54571,"1,5,12,102"
25297,"1,9,15,123,141,178"
39584,"0,5,14,68,75,89,197,254"
72534,"0,5,14,68,75,89,197,254"
3027,"3,9"
74236,"1,210"
50748,"0,4,7,97"
44443,"1,12,15,54,62"
32865,"0,3,28,38,247"
3249,"0,1,29,67,87,129"
52166,"1,203,250"
13656,"1,2,13,15,83,219"
48140,"0,128"
49021,"6,23,93,134,169,177,228"
75630,"3,6,122,162,236"
6026,"0,67,114,142"
65515,"1,15,50,62,172"
43880,"3,35,124,146"
71688,"3,6,232,236"
47450,"3,6,232,236"
27500,"0,88,153"
34902,"1,78,113"
33277,"0,18,222"
69602,"0,18,222"
26197,"1,17,29,66"
37188,"3,19,236"
74575,"3,6,23,43,122,145,195,214,236,252"
14963,"0,7,48"
47304,"9,32,45"
13007,"3,34"
14937,"0,28,40,69,168,247"
3272,"0,48,115,253"
60047,"0,107,156"
44683,"0,2,4,8,24,27"
934,"6,23,162"
25823,"1,171"
53465,"1,6,103,243"
40208,"0,18,49,153"
33197,"1,17"
49480,"0,1,7,31,35,64,77,88,149"
54073,"1,78"
48581,"0,166"
1902,"1,5,35,68,143,227,244"
10619,"0,16,125"
53070,"2,5,179"
59725,"1,11,12"
68379,"0,1,31,202"
60419,"5,104"
27731,"0,1,14,17,72,95"
43740,"0,142"
2814,"0,6,9,40,81"
1860,"5,23,35,208"
2465,"1,12,21,50,74,76,78,202"
62246,"0,33"
33475,"2,23,24,26,160"
39585,"0,8,28,40,51"
48578,"0,7,211"
59919,"1,11,13,15"
37290,"0,10,16,67"
20161,"2,26,194,240"
56898,"9,32,85,141"
35863,"0,3,4,34,59"
13221,"6,9,39,85,93,116"
56907,"0,3,28,59,135,182,209"
25895,"1,15,180"
57480,"6,39,93,103,116,145"
2018,"0,65,107"
33641,"0,33"
61782,"1,21,44,53,237"
64876,"0,20,222"
28526,"3,238"
62353,"0,6,23,160"
51598,"2,3,34,147"
23542,"0,2,8"
17571,"1,5,164"
2987,"1,5,164"
68872,"6,23,101,151,234"
31888,"2,3,19,41"
33651,"0,40,46,69,125,128"
17346,"0,235"
16134,"2,61"
12362,"0,3,22,24,194"
17492,"0,94"
75858,"1,37"
56609,"2,6,43,137,252"
63174,"0,176"
5293,"2,35,112,191"
63833,"0,2,8,194,240"
71927,"1,71,92"
8584,"1,13,87"
17727,"1,35,37,174,244"
11739,"1,78,113"
16149,"0,2,27,128,211"
57583,"6,9,23,32,151,169"
52074,"6,9,23,32,151,169"
3342,"2,3,23,24,246"
15681,"23,228,234,246"
60414,"1,5,12,54,63"
17873,"6,39,43"
12750,"0,2,3,24,26,34,59"
62023,"35,143,244"
25197,"0,4,48,60,67,77,84,129"
69613,"3,34,130"
48757,"6,39"
45628,"2,61,248"
14011,"0,14,42"
40016,"5,68,127"
63244,"28,168,182,221"
40257,"6,122,187"
5934,"0,28,40"
29622,"0,57,88,90,142"
26733,"0,3,4,31,255"
72910,"0,5,6,7,9,28,40,46,116"
26587,"0,80,129,149"
22157,"0,12,14,132"
25478,"0,30,31,77,140"
16237,"2,23,26"
71127,"1,5,17,96,254"
21022,"1,18,35,99,143"
38760,"0,4,49,94,105"
68307,"0,1,4,69"
71407,"43,121,183"
68024,"23,207"
67167,"0,12,94,132"
76134,"0,1,98,135"
67324,"0,2,26,46"
71998,"2,6,26,61,93,187"
13033,"0,38,46,130"
74783,"2,3,17,38,135"
31990,"1,2,3,12,19,29,34,41,43,87,98,135,137,183,248"
50866,"1,12,29,108,135,137"
38081,"6,9,23,101,169,177"
27753,"2,6,23,24,117,204"
13219,"1,6,23,44,81,123,151,177,178,204"
5707,"5,68,102"
56420,"6,9,117"
7707,"3,6,19,147"
8509,"2,27"
61953,"0,3,34,130"
76335,"1,2,86"
60319,"23,173"
46886,"2,184"
11412,"1,53,165"
57634,"0,28,40,168,182"
65797,"3,6,19,43,116,183,200"
40718,"1,15,62,131,138,178"
55476,"1,44,53,76"
6262,"0,14,176"
34660,"1,6,103,117,123,178"
55444,"1,53"
63766,"0,14,30,42"
51533,"2,6,24,101"
676,"0,1,7,12,19,74"
60420,"28,182"
65979,"0,4,100"
17837,"1,109"
43855,"1,6,15,101,103,116"
16759,"9,32,231"
28168,"0,3,7,28"
53854,"0,56"
55261,"0,18,94"
67683,"0,10,42,49,176"
51409,"0,80,156"
71842,"0,100"
68828,"0,1,18,49"
25053,"0,20"
47374,"1,37,245"
65717,"1,12,96,108"
37832,"1,44,53"
28444,"3,6,19,39,170"
20523,"0,1,176"
11531,"0,4,12,95"
20938,"0,2,8"
20410,"0,1,2,4,69,163"
43791,"1,6,9,11,17,70,81,93,123"
30612,"9,32,45,47"
7156,"1,135"
54419,"23,134,180"
31983,"1,5,7,8,46,63,83,89,239"
52734,"2,41"
22289,"6,39,117,145"
46190,"3,19,23,207,228"
55809,"1,12,108,131"
37200,"1,15,44,71"
55200,"0,10,77"
47620,"1,71,109"
75422,"0,10,91,166"
10044,"2,26,41"
19877,"0,20,126"
46524,"0,14,16,125"
46101,"0,3,67,107,126"
40650,"23,173"
14326,"1,138"
41041,"0,8,129"
13935,"1,66,87"
57223,"0,2,3,8,23,38"
26426,"0,1,12,30,43,54,95,129"
23035,"6,93,103"
726,"1,2,109"
20108,"0,2,8"
42132,"0,56,181"
39063,"6,9,39,117"
623,"0,4,7"
18448,"23,134,204"
23973,"35,63,73,112,233"
54793,"0,211"
52207,"0,3,28,34,59,130"
62223,"3,19,43,106,137,183,195"
13415,"6,28,122"
13946,"1,3,72"
38663,"1,2,5,6,157,162"
25556,"1,5,15,25,64,104,167"
61360,"9,103,117"
477,"1,53"
13899,"0,91,100"
13447,"0,20,139,188"
10328,"35,112,146,191"
25368,"0,3,4,59"
55416,"0,22,181"
57514,"0,4,60,77"
40209,"0,14,16"
73441,"3,236"
72754,"43,121"
70481,"0,114"
76326,"0,2,8,60,80,91"
41660,"28,182"
74502,"0,1,97,220"
7131,"1,12,37,62"
2239,"28,247"
36601,"0,7,211"
14432,"0,42,152"
62542,"0,235"
35677,"3,19,34,147,155"
2747,"3,106"
9876,"0,1,217"
60964,"1,12,15,37,98,99,178,219"
43304,"1,229"
46830,"0,126,181"
36105,"0,181"
61901,"2,3,36,238"
59182,"1,62,138"
